USE_SUNSLIK_GREEN,WANT_LONG_STRONG,MOTIV_1,MOTIV_2,MOTIV_3,MOTIV_4,MOTIV_5,OCCAS_1,OCCAS_2,OCCAS_3,DEMOTIV_1,DEMOTIV_2,DEMOTIV_3,DEMOTIV_4,DEMOTIV_5,DEMOTIV_6,DEMOTIV_7,DEMOTIV_8,DEMOTIV_9,CONTENT,PERSONALITY,PLATFORM,PREFER_1,PREFER_2,PREFER_3,PREFER_4,SATIS_1.1,SATIS_1.2,SATIS_1.3,SATIS_2.1,SATIS_2.2,SATIS_2.3,SATIS_3.1,SATIS_3.2,SATIS_3.3,SATIS_4.1,SATIS_4.2,SATIS_4.3,SATIS_5.1,SATIS_5.2,SATIS_5.3,SATIS_6.1,SATIS_6.2,SATIS_6.3,GENDER,AGE,STATUS,EDUCATION,INCOME,Motivation,Occasion,Demotivation,Preference,Satisfaction
No,Yes,5,3,5,5,5,5,3,5,,,,,,,,,,Lifestyle,Funny,TikTok,5,2,1,3,5,5,5,5,5,5,5,5,5,3,2,4,5,4,5,3,3,5,Female,Gen Z  (18- 27),Single,Graduate Degree,"50,000-100,000 THB per month",4.6,4.333333333,,2.75,4.388888889
Yes,Yes,5,5,3,2,3,3,1,1,,,,,,,,,,Beauty,Creative,Facebook,3,4,2,3,4,4,4,1,2,3,3,3,4,3,3,3,4,4,4,5,5,5,Female,Gen Z  (18- 27),Single,Graduate Degree,">100,000 THB per month",3.6,1.666666667,,3,3.555555556
Yes,Yes,5,5,5,3,5,4,2,4,,,,,,,,,,Lifestyle,Talkative,TikTok,4,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Others,Gen Z  (18- 27),Single,Undergraduate Degree,"<10,000 THB per month",4.6,3.333333333,,3.5,3
No,Yes,5,1,3,5,5,5,5,5,,,,,,,,,,Lifestyle,Creative,YouTube,5,3,2,1,1,1,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,Female,Gen X (44-59),Married,Graduate Degree,"<10,000 THB per month",3.8,5,,2.75,4.277777778
No,No,,,,,,,,,5,5,5,3,3,2,2,4,4,Lifestyle,Creative,YouTube,4,4,2,5,4,3,3,4,4,4,5,5,4,4,5,4,3,3,4,5,4,4,Male,Gen Z  (18- 27),Single,Undergraduate Degree,"10,000-20,000 THB per month",,,3.666666667,3.75,4
Yes,Yes,5,5,4,3,5,5,5,5,,,,,,,,,,Lifestyle,Confident,YouTube,5,5,3,4,3,4,4,3,4,4,5,5,5,5,5,5,5,5,5,4,5,5,Female,Gen Z  (18- 27),Taken,Undergraduate Degree,"<10,000 THB per month",4.4,5,,4.25,4.5
Yes,Yes,4,3,4,2,5,4,2,4,,,,,,,,,,Comedy,Creative,TikTok,4,2,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Female,Gen Z  (18- 27),Single,Undergraduate Degree,"10,000-20,000 THB per month",3.6,3.333333333,,2.5,2.944444444
Yes,Yes,5,3,2,3,4,2,2,2,,,,,,,,,,Lifestyle,Funny,Instagram,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Female,Gen Z  (18- 27),Taken,Undergraduate Degree,"<10,000 THB per month",3.4,2,,4,5
Yes,Yes,5,5,5,5,5,5,5,5,,,,,,,,,,Lifestyle,Talkative,TikTok,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Female,Gen Z  (18- 27),Single,High School,"<10,000 THB per month",5,5,,5,5
Yes,Yes,4,3,3,3,4,3,3,3,,,,,,,,,,Lifestyle,Creative,TikTok,4,5,3,3,3,5,4,4,5,4,3,5,3,3,4,3,3,4,3,2,3,3,Female,Gen Z  (18- 27),Single,Undergraduate Degree,"<10,000 THB per month",3.4,3,,3.75,3.555555556
No,Yes,5,5,5,5,5,5,5,5,,,,,,,,,,Adventurous,Funny,YouTube,5,5,5,5,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,Male,Over 60,Taken,High School,"20,000-50,000 THB per month",5,5,,5,3.777777778
Yes,Yes,5,1,1,1,5,5,3,3,,,,,,,,,,Lifestyle,Confident,TikTok,5,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Female,Gen Z  (18- 27),Taken,Undergraduate Degree,"10,000-20,000 THB per month",2.6,3.666666667,,3,3
Yes,Yes,5,4,1,3,5,3,5,5,,,,,,,,,,Lifestyle,Funny,YouTube,5,3,1,5,3,4,3,2,4,4,4,4,4,2,3,2,5,5,5,1,1,1,Female,Gen Z  (18- 27),Single,Undergraduate Degree,"10,000-20,000 THB per month",3.6,4.333333333,,3.5,3.166666667
Yes,Yes,4,3,1,1,5,4,3,5,,,,,,,,,,Fashion,Confident,Instagram,5,3,2,3,3,4,4,4,4,4,2,4,4,2,4,4,3,4,4,3,4,4,Male,Under 18,Single,High School,"<10,000 THB per month",2.8,4,,3.25,3.611111111
No,No,,,,,,,,,5,3,2,1,2,3,1,4,4,Adventurous,Mature,YouTube,3,5,1,3,2,2,2,3,1,3,4,4,4,1,2,3,3,4,4,2,4,4,Male,Gen Z  (18- 27),Single,Undergraduate Degree,"20,000-50,000 THB per month",,,2.777777778,3,2.888888889
No,Yes,1,5,1,2,5,3,5,5,,,,,,,,,,Adventurous,Talkative,Instagram,3,3,1,5,3,3,3,5,3,3,3,3,1,2,4,1,1,1,1,1,1,1,Male,Gen Z  (18- 27),Single,High School,"20,000-50,000 THB per month",2.8,4.333333333,,3,2.222222222
Yes,Yes,5,5,5,5,5,5,5,5,,,,,,,,,,Beauty,Funny,TikTok,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Female,Gen Z  (18- 27),Taken,Undergraduate Degree,"10,000-20,000 THB per month",5,5,,4,3
No,Yes,5,5,3,3,5,3,3,3,,,,,,,,,,Lifestyle,Creative,YouTube,3,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Male,Gen Z  (18- 27),Single,Undergraduate Degree,"<10,000 THB per month",4.2,3,,2,5
No,No,,,,,,,,,5,2,5,3,1,3,5,2,1,Comedy,Creative,YouTube,5,4,1,1,5,5,4,3,5,5,2,5,5,1,5,5,1,5,5,1,5,5,Male,Gen Z  (18- 27),Single,Undergraduate Degree,"10,000-20,000 THB per month",,,3,2.75,4
Yes,Yes,5,5,3,3,5,4,1,2,,,,,,,,,,Comedy,Funny,TikTok,3,5,3,5,5,5,5,4,3,4,3,3,3,1,1,3,1,1,3,1,1,2,Female,Gen Z  (18- 27),Taken,Undergraduate Degree,"10,000-20,000 THB per month",4.2,2.333333333,,4,2.722222222
No,Yes,5,5,5,5,5,5,5,5,,,,,,,,,,Beauty,Confident,Instagram,2,5,5,5,3,3,4,5,4,5,3,4,5,3,5,4,3,5,3,2,3,3,Female,Gen Z  (18- 27),Single,Undergraduate Degree,"<10,000 THB per month",5,5,,4.25,3.722222222
No,Yes,5,3,5,2,5,4,4,4,,,,,,,,,,Lifestyle,Funny,YouTube,4,5,3,3,5,4,3,3,5,4,5,5,5,2,2,3,3,3,3,3,3,2,Male,Gen Z  (18- 27),Taken,Undergraduate Degree,"10,000-20,000 THB per month",4,4,,3.75,3.5
No,Yes,3,1,4,2,5,4,3,2,,,,,,,,,,Adventurous,Funny,YouTube,4,5,2,5,4,3,4,2,2,5,1,4,4,3,3,3,2,4,4,4,3,2,Male,Gen Z  (18- 27),Single,High School,"<10,000 THB per month",3,3,,4,3.166666667
No,Yes,3,1,1,1,1,1,1,1,,,,,,,,,,Comedy,Mature,Instagram,3,3,1,4,1,1,1,4,4,4,3,3,3,3,3,3,4,3,3,3,4,4,Male,Gen Z  (18- 27),Taken,Undergraduate Degree,"10,000-20,000 THB per month",1.4,1,,2.75,3
Yes,Yes,5,5,5,3,5,4,4,3,,,,,,,,,,Comedy,Funny,YouTube,5,5,1,3,3,3,4,3,3,5,3,3,5,3,3,5,3,3,3,3,3,5,Female,Gen Z  (18- 27),Single,Undergraduate Degree,"<10,000 THB per month",4.6,3.666666667,,3.5,3.5
No,Yes,5,1,1,1,5,2,1,1,,,,,,,,,,Beauty,Creative,Instagram,3,3,1,2,3,4,4,1,1,1,3,3,3,5,5,5,5,5,5,4,4,5,Female,Millennials (28-43),Married,High School,"20,000-50,000 THB per month",2.6,1.333333333,,2.25,3.666666667
No,Yes,3,4,2,3,3,3,3,3,,,,,,,,,,Beauty,Confident,Facebook,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,Female,Gen Z  (18- 27),Single,Undergraduate Degree,"<10,000 THB per month",3,3,,3,2.833333333
No,Yes,3,4,2,2,5,5,5,5,,,,,,,,,,Adventurous,Confident,YouTube,3,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Male,Gen Z  (18- 27),Taken,Undergraduate Degree,">100,000 THB per month",3.2,5,,3.5,5
No,Yes,5,5,5,5,5,5,5,5,,,,,,,,,,Beauty,Creative,TikTok,5,5,1,3,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,Female,Gen Z  (18- 27),Taken,Higher Education,"20,000-50,000 THB per month",5,5,,3.5,4.277777778
No,Yes,5,1,5,2,5,3,2,4,,,,,,,,,,Lifestyle,Creative,Instagram,2,4,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,Female,Gen Z  (18- 27),Single,High School,"10,000-20,000 THB per month",3.6,3,,2.5,4.222222222
